Model	Symbol	Mutation
PD0058_F3	KIF19	-
PD0058_F3	LCE1E	-
PD0058_F3	MAP2K3	-
PD0058_F3	MEN1	-
PD0058_F3	NCOR1	-
PD0058_F3	NFE2L2	-
PD0058_F3	PDX1	-
PD0058_F3	PTEN	-
PD0058_F3	RB1	-
PD0058_F3	RPS6KA3	-
PD0058_F3	SOCS6	-
PD0058_F3	SRCAP	-
PD0058_F3	TERT	-
PD0058_F3	TMEM99	-
PD0058_F3	TP53	-
PD0058_F3	TRPA1	-
PD0058_F3	TSC2	-
PD0059_F3	ACVR2A	-
PD0059_F3	ADH1B	-
PD0059_F3	ALB	-
PD0059_F3	APOB	-
PD0059_F3	ARID1A	-
PD0059_F3	ARID2	-
PD0059_F3	AXIN1	-
PD0059_F3	BAP1	-
PD0059_F3	BRD7	-
PD0059_F3	CCND1	-
PD0059_F3	CDKN1A	-
PD0059_F3	CDKN2A	-
PD0059_F3	CDKN2B	-
PD0059_F3	CTNNB1	-
PD0059_F3	CYP2E1	-
PD0059_F3	EEF1A1	-
PD0059_F3	FCRL1	-
PD0059_F3	FGF19	-
PD0059_F3	G6PC	-
PD0059_F3	GRXCR1	-
PD0059_F3	HIST1H1C	-
PD0059_F3	HNF1A	-
PD0059_F3	HNRNPA2B1	-
PD0059_F3	IDH1	-
PD0059_F3	IL6ST	-
PD0059_F3	IRX1	-
PD0059_F3	KIF19	-
PD0059_F3	LCE1E	-
PD0059_F3	MEN1	-
PD0059_F3	NCOR1	-
PD0059_F3	NFE2L2	-
PD0059_F3	PDX1	-
PD0059_F3	PTEN	-
PD0059_F3	RB1	-
PD0059_F3	RPS6KA3	-
PD0059_F3	SOCS6	-
PD0059_F3	TERT	-
PD0059_F3	TMEM99	-
PD0059_F3	TRPA1	-
PD0059_F3	TSC1	-
PD0059_F3	TSC2	-
PD0060_F3	ACVR2A	-
PD0060_F3	ADH1B	-
PD0060_F3	ALB	-
PD0060_F3	APOB	-
PD0060_F3	ARID1A	-
PD0060_F3	ARID2	-
PD0060_F3	AXIN1	-
PD0060_F3	BAP1	-
PD0060_F3	BRD7	-
PD0060_F3	CCND1	-
PD0060_F3	CDKN1A	-
PD0060_F3	CDKN2A	-
PD0060_F3	CDKN2B	-
PD0060_F3	CTNNB1	-
PD0060_F3	CYP2E1	-
PD0060_F3	EEF1A1	-
PD0060_F3	FCRL1	-
PD0060_F3	FGF19	-
PD0060_F3	G6PC	-
PD0060_F3	GALNT11	-
PD0060_F3	GRXCR1	-
PD0060_F3	HIST1H1C	-
PD0060_F3	HNF1A	-
PD0060_F3	HNRNPA2B1	-
PD0060_F3	IDH1	-
PD0060_F3	IL6ST	-
PD0060_F3	IRX1	-
PD0060_F3	KIF19	-
PD0060_F3	LCE1E	-
PD0060_F3	MAP2K3	-
PD0060_F3	MEN1	-
PD0060_F3	NCOR1	-
PD0060_F3	NFE2L2	-
PD0060_F3	PDX1	-
PD0060_F3	PTEN	-
PD0060_F3	RB1	-
PD0060_F3	RPS6KA3	-
PD0060_F3	SOCS6	-
PD0060_F3	SRCAP	-
PD0060_F3	TERT	-
PD0060_F3	TMEM99	-
PD0060_F3	TRPA1	-
PD0060_F3	TSC1	-
PD0062_F3	ACVR2A	-
PD0062_F3	ADH1B	-
PD0062_F3	ALB	-
PD0062_F3	APOB	-
PD0062_F3	ARID1A	-
PD0062_F3	ARID2	-
PD0062_F3	AXIN1	-
PD0062_F3	BAP1	-
PD0062_F3	BRD7	-
PD0062_F3	CCND1	-
PD0062_F3	CDKN1A	-
PD0062_F3	CDKN2A	-
PD0062_F3	CDKN2B	-
PD0062_F3	CTNNB1	-
PD0062_F3	CYP2E1	-
PD0062_F3	EEF1A1	-
PD0062_F3	FCRL1	-
PD0062_F3	FGF19	-
PD0062_F3	G6PC	-
PD0062_F3	GALNT11	-
PD0062_F3	GRXCR1	-
PD0062_F3	HIST1H1C	-
PD0062_F3	HNF1A	-
PD0062_F3	HNRNPA2B1	-
PD0062_F3	IDH1	-
PD0062_F3	IL6ST	-
PD0062_F3	IRX1	-
PD0062_F3	KIF19	-
PD0062_F3	LCE1E	-
PD0062_F3	MAP2K3	-
PD0062_F3	MEN1	-
PD0062_F3	NCOR1	-
PD0062_F3	NFE2L2	-
PD0062_F3	PDX1	-
PD0062_F3	PTEN	-
PD0062_F3	RB1	-
PD0062_F3	RPS6KA3	-
PD0062_F3	SOCS6	-
PD0062_F3	SRCAP	-
PD0062_F3	TERT	-
PD0062_F3	TMEM99	-
PD0062_F3	TRPA1	-
PD0062_F3	TSC1	-
PD0062_F3	TSC2	-
PD0065_F3	ACVR2A	-
PD0065_F3	ADH1B	-
PD0065_F3	ALB	-
PD0065_F3	APOB	-
PD0065_F3	ARID1A	-
PD0065_F3	ARID2	-
PD0065_F3	BAP1	-
PD0065_F3	BRD7	-
PD0065_F3	CCND1	-
PD0065_F3	CDKN1A	-
PD0065_F3	CDKN2A	-
PD0065_F3	CDKN2B	-
PD0065_F3	CTNNB1	-
PD0065_F3	CYP2E1	-
PD0065_F3	EEF1A1	-
PD0065_F3	FCRL1	-
PD0065_F3	FGF19	-
PD0065_F3	G6PC	-
PD0065_F3	GALNT11	-
PD0065_F3	GRXCR1	-
PD0065_F3	HIST1H1C	-
PD0065_F3	HNF1A	-
PD0065_F3	HNRNPA2B1	-
PD0065_F3	IDH1	-
PD0065_F3	IL6ST	-
PD0065_F3	IRX1	-
PD0065_F3	KIF19	-
PD0065_F3	LCE1E	-
PD0065_F3	MAP2K3	-
PD0065_F3	MEN1	-
PD0065_F3	NCOR1	-
PD0065_F3	NFE2L2	-
PD0065_F3	PDX1	-
PD0065_F3	PTEN	-
PD0065_F3	RPS6KA3	-
PD0065_F3	SOCS6	-
PD0065_F3	SRCAP	-
PD0065_F3	TERT	-
PD0065_F3	TMEM99	-
PD0065_F3	TP53	-
PD0065_F3	TRPA1	-
PD0065_F3	TSC1	-
PD0065_F3	TSC2	-
PD0069_F3	ACVR2A	-
PD0069_F3	ADH1B	-
PD0069_F3	ALB	-
PD0069_F3	APOB	-
PD0069_F3	ARID1A	-
PD0069_F3	ARID2	-
PD0069_F3	AXIN1	-
PD0069_F3	BAP1	-
PD0069_F3	BRD7	-
PD0069_F3	CCND1	-
PD0069_F3	CDKN1A	-
PD0069_F3	CDKN2A	-
PD0069_F3	CDKN2B	-
PD0069_F3	CTNNB1	-
PD0069_F3	CYP2E1	-
PD0069_F3	EEF1A1	-
PD0069_F3	FCRL1	-
PD0069_F3	FGF19	-
PD0069_F3	G6PC	-
PD0069_F3	GALNT11	-
PD0069_F3	GRXCR1	-
PD0069_F3	HIST1H1C	-
PD0069_F3	HNF1A	-
PD0069_F3	HNRNPA2B1	-
PD0069_F3	IDH1	-
PD0069_F3	IL6ST	-
PD0069_F3	IRX1	-
PD0069_F3	KIF19	-
PD0069_F3	LCE1E	-
PD0069_F3	MAP2K3	-
PD0069_F3	MEN1	-
PD0069_F3	NCOR1	-
PD0069_F3	NFE2L2	-
PD0069_F3	PDX1	-
PD0069_F3	PTEN	-
PD0069_F3	RB1	-
PD0069_F3	RPS6KA3	-
PD0069_F3	SOCS6	-
PD0069_F3	SRCAP	-
PD0069_F3	TERT	-
PD0069_F3	TMEM99	-
PD0069_F3	TRPA1	-
PD0069_F3	TSC1	-
PD0069_F3	TSC2	-
PD0070_F3	ACVR2A	-
PD0070_F3	ADH1B	-
PD0070_F3	ALB	-
PD0070_F3	APOB	-
PD0070_F3	ARID1A	-
PD0070_F3	ARID2	-
PD0070_F3	AXIN1	-
PD0070_F3	BAP1	-
PD0070_F3	BRD7	-
PD0070_F3	CCND1	-
PD0070_F3	CDKN1A	-
PD0070_F3	CDKN2A	-
PD0070_F3	CDKN2B	-
PD0070_F3	CTNNB1	-
PD0070_F3	CYP2E1	-
PD0070_F3	EEF1A1	-
PD0070_F3	FCRL1	-
PD0070_F3	FGF19	-
PD0070_F3	G6PC	-
PD0070_F3	GALNT11	-
PD0070_F3	GRXCR1	-
PD0070_F3	HIST1H1C	-
PD0070_F3	HNF1A	-
PD0070_F3	HNRNPA2B1	-
PD0070_F3	IDH1	-
PD0070_F3	IL6ST	-
PD0070_F3	IRX1	-
PD0070_F3	KIF19	-
PD0070_F3	LCE1E	-
PD0070_F3	MAP2K3	-
PD0070_F3	MEN1	-
PD0070_F3	NCOR1	-
PD0070_F3	NFE2L2	-
PD0070_F3	PDX1	-
PD0070_F3	RB1	-
PD0070_F3	SOCS6	-
PD0070_F3	TERT	-
PD0070_F3	TMEM99	-
PD0070_F3	TP53	-
PD0070_F3	TRPA1	-
PD0070_F3	TSC1	-
PD0070_F3	TSC2	-
PD0073_F3	ACVR2A	-
PD0073_F3	ADH1B	-
PD0073_F3	ALB	-
PD0073_F3	APOB	-
PD0073_F3	ARID2	-
PD0073_F3	AXIN1	-
PD0073_F3	BAP1	-
PD0073_F3	BRD7	-
PD0073_F3	CCND1	-
PD0073_F3	CDKN1A	-
PD0073_F3	CDKN2A	-
PD0073_F3	CDKN2B	-
PD0073_F3	CTNNB1	-
PD0073_F3	CYP2E1	-
PD0073_F3	EEF1A1	-
PD0073_F3	FCRL1	-
PD0073_F3	FGF19	-
PD0073_F3	G6PC	-
PD0073_F3	GALNT11	-
PD0073_F3	GRXCR1	-
PD0073_F3	HIST1H1C	-
PD0073_F3	HNF1A	-
PD0073_F3	HNRNPA2B1	-
PD0073_F3	IDH1	-
PD0073_F3	IL6ST	-
PD0073_F3	IRX1	-
PD0073_F3	KIF19	-
PD0073_F3	LCE1E	-
PD0073_F3	MAP2K3	-
PD0073_F3	MEN1	-
PD0073_F3	NCOR1	-
PD0073_F3	NFE2L2	-
PD0073_F3	PDX1	-
PD0073_F3	PTEN	-
PD0073_F3	RB1	-
PD0073_F3	RPS6KA3	-
PD0073_F3	SOCS6	-
PD0073_F3	SRCAP	-
PD0073_F3	TERT	-
PD0073_F3	TMEM99	-
PD0073_F3	TP53	-
PD0073_F3	TRPA1	-
PD0073_F3	TSC1	-
PD0073_F3	TSC2	-
PD0077_F3	ACVR2A	-
PD0077_F3	ADH1B	-
PD0077_F3	ALB	-
PD0077_F3	APOB	-
PD0077_F3	ARID1A	-
PD0077_F3	ARID2	-
PD0077_F3	AXIN1	-
PD0077_F3	BAP1	-
PD0077_F3	BRD7	-
PD0077_F3	CCND1	-
PD0077_F3	CDKN1A	-
PD0077_F3	CDKN2A	-
PD0077_F3	CDKN2B	-
PD0077_F3	CTNNB1	-
PD0077_F3	CYP2E1	-
PD0077_F3	EEF1A1	-
PD0077_F3	FCRL1	-
PD0077_F3	FGF19	-
PD0077_F3	G6PC	-
PD0077_F3	GALNT11	-
PD0077_F3	GRXCR1	-
PD0077_F3	HIST1H1C	-
PD0077_F3	HNF1A	-
PD0077_F3	HNRNPA2B1	-
PD0077_F3	IDH1	-
PD0077_F3	IL6ST	-
PD0077_F3	IRX1	-
PD0077_F3	KIF19	-
PD0077_F3	LCE1E	-
PD0077_F3	MAP2K3	-
PD0077_F3	MEN1	-
PD0077_F3	NCOR1	-
PD0077_F3	NFE2L2	-
PD0077_F3	PDX1	-
PD0077_F3	PTEN	-
PD0077_F3	RB1	-
PD0077_F3	RPS6KA3	-
PD0077_F3	SOCS6	-
PD0077_F3	SRCAP	-
PD0077_F3	TERT	-
PD0077_F3	TMEM99	-
PD0077_F3	TP53	-
PD0077_F3	TRPA1	-
PD0077_F3	TSC1	-
PD0077_F3	TSC2	-
PD0084_F3	ACVR2A	-
PD0084_F3	ADH1B	-
PD0084_F3	ALB	-
PD0084_F3	APOB	-
PD0084_F3	ARID1A	-
PD0084_F3	ARID2	-
PD0084_F3	AXIN1	-
PD0084_F3	BAP1	-
PD0084_F3	BRD7	-
PD0084_F3	CCND1	-
PD0084_F3	CDKN1A	-
PD0084_F3	CDKN2A	-
PD0084_F3	CDKN2B	-
PD0084_F3	CYP2E1	-
PD0084_F3	EEF1A1	-
PD0084_F3	FCRL1	-
PD0084_F3	FGF19	-
PD0084_F3	G6PC	-
PD0084_F3	GALNT11	-
PD0084_F3	GRXCR1	-
PD0084_F3	HIST1H1C	-
PD0084_F3	HNF1A	-
PD0084_F3	HNRNPA2B1	-
PD0084_F3	IDH1	-
PD0084_F3	IL6ST	-
PD0084_F3	IRX1	-
PD0084_F3	KIF19	-
PD0084_F3	LCE1E	-
PD0084_F3	MAP2K3	-
PD0084_F3	MEN1	-
PD0084_F3	NCOR1	-
PD0084_F3	NFE2L2	-
PD0084_F3	PDX1	-
PD0084_F3	PTEN	-
PD0084_F3	RB1	-
PD0084_F3	RPS6KA3	-
PD0084_F3	SOCS6	-
PD0084_F3	SRCAP	-
PD0084_F3	TERT	-
PD0084_F3	TMEM99	-
PD0084_F3	TRPA1	-
PD0084_F3	TSC1	-
PD0084_F3	TSC2	-
PD0085_F3	ACVR2A	-
PD0085_F3	ADH1B	-
PD0085_F3	ALB	-
PD0085_F3	APOB	-
PD0085_F3	ARID1A	-
PD0085_F3	ARID2	-
PD0085_F3	AXIN1	-
PD0085_F3	BAP1	-
PD0085_F3	BRD7	-
PD0085_F3	CCND1	-
PD0085_F3	CDKN1A	-
PD0085_F3	CDKN2A	-
PD0085_F3	CDKN2B	-
PD0085_F3	CTNNB1	-
PD0085_F3	CYP2E1	-
PD0085_F3	EEF1A1	-
PD0085_F3	FCRL1	-
PD0085_F3	FGF19	-
PD0085_F3	G6PC	-
PD0085_F3	GALNT11	-
PD0085_F3	GRXCR1	-
PD0085_F3	HIST1H1C	-
PD0085_F3	HNF1A	-
PD0085_F3	HNRNPA2B1	-
PD0085_F3	IDH1	-
PD0085_F3	IL6ST	-
PD0085_F3	IRX1	-
PD0085_F3	KIF19	-
PD0085_F3	LCE1E	-
PD0085_F3	MAP2K3	-
PD0085_F3	MEN1	-
PD0085_F3	NCOR1	-
PD0085_F3	NFE2L2	-
PD0085_F3	PDX1	-
PD0085_F3	PTEN	-
PD0085_F3	RB1	-
PD0085_F3	RPS6KA3	-
PD0085_F3	SOCS6	-
PD0085_F3	SRCAP	-
PD0085_F3	TERT	-
PD0085_F3	TMEM99	-
PD0085_F3	TRPA1	-
PD0085_F3	TSC1	-
PD0086_F3	ACVR2A	-
PD0086_F3	ADH1B	-
PD0086_F3	ALB	-
PD0086_F3	APOB	-
PD0086_F3	ARID1A	-
PD0086_F3	ARID2	-
PD0086_F3	AXIN1	-
PD0086_F3	BAP1	-
PD0086_F3	BRD7	-
PD0086_F3	CCND1	-
PD0086_F3	CDKN1A	-
PD0086_F3	CDKN2A	-
PD0086_F3	CDKN2B	-
PD0086_F3	CTNNB1	-
PD0086_F3	CYP2E1	-
PD0086_F3	EEF1A1	-
PD0086_F3	FCRL1	-
PD0086_F3	FGF19	-
PD0086_F3	G6PC	-
PD0086_F3	GALNT11	-
PD0086_F3	GRXCR1	-
PD0086_F3	HIST1H1C	-
PD0086_F3	HNF1A	-
PD0086_F3	HNRNPA2B1	-
PD0086_F3	IDH1	-
PD0086_F3	IL6ST	-
PD0086_F3	IRX1	-
PD0086_F3	KIF19	-
PD0086_F3	LCE1E	-
PD0086_F3	MAP2K3	-
PD0086_F3	MEN1	-
PD0086_F3	NCOR1	-
PD0086_F3	NFE2L2	-
PD0086_F3	PDX1	-
PD0086_F3	PTEN	-
PD0086_F3	RB1	-
PD0086_F3	RPS6KA3	-
PD0086_F3	SOCS6	-
PD0086_F3	SRCAP	-
PD0086_F3	TERT	-
PD0086_F3	TMEM99	-
PD0086_F3	TRPA1	-
PD0086_F3	TSC1	-
PD0086_F3	TSC2	-
PD0087_F3	ACVR2A	-
PD0087_F3	ADH1B	-
PD0087_F3	ALB	-
PD0087_F3	APOB	-
PD0087_F3	ARID1A	-
PD0087_F3	ARID2	-
PD0087_F3	AXIN1	-
PD0087_F3	BAP1	-
PD0087_F3	BRD7	-
PD0087_F3	CCND1	-
PD0087_F3	CDKN1A	-
PD0087_F3	CDKN2A	-
PD0087_F3	CDKN2B	-
PD0087_F3	CTNNB1	-
PD0087_F3	CYP2E1	-
PD0087_F3	EEF1A1	-
PD0087_F3	FCRL1	-
PD0087_F3	FGF19	-
PD0087_F3	G6PC	-
PD0087_F3	GALNT11	-
PD0087_F3	GRXCR1	-
PD0087_F3	HIST1H1C	-
PD0087_F3	HNF1A	-
PD0087_F3	HNRNPA2B1	-
PD0087_F3	IDH1	-
PD0087_F3	IL6ST	-
PD0087_F3	IRX1	-
PD0087_F3	KIF19	-
PD0087_F3	LCE1E	-
PD0087_F3	MAP2K3	-
PD0087_F3	MEN1	-
PD0087_F3	NCOR1	-
PD0087_F3	NFE2L2	-
PD0087_F3	PDX1	-
PD0087_F3	PTEN	-
PD0087_F3	RB1	-
PD0087_F3	RPS6KA3	-
PD0087_F3	SOCS6	-
PD0087_F3	SRCAP	-
PD0087_F3	TERT	-
PD0087_F3	TMEM99	-
PD0087_F3	TRPA1	-
PD0087_F3	TSC1	-
PD0087_F3	TSC2	-
PD0089_F3	ACVR2A	-
PD0089_F3	ADH1B	-
PD0089_F3	ALB	-
PD0089_F3	ARID1A	-
PD0089_F3	ARID2	-
PD0089_F3	AXIN1	-
PD0089_F3	BAP1	-
PD0089_F3	BRD7	-
PD0089_F3	CCND1	-
